a,Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.,https://pec.ac.in/donations/distinguished-alumnus-award
a,,https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020
a,Oldest Alum at Homecoming: 2020,https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020
a,,https://pec.ac.in/events/mou-signed-between-pec-and-peda
a,MOU Between PEC and PEDA,https://pec.ac.in/events/mou-signed-between-pec-and-peda
a,,https://pec.ac.in/events/98th-foundation-day
a,98th Foundation Day,https://pec.ac.in/events/98th-foundation-day
a,One week STC on Micro Manufacturing from 4th to 8th January, 2021,https://pec.ac.in/sites/default/files/uploads/events/STC-MMCO-2021.pdf
a,Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19,https://www.pec.ac.in/sites/default/files/uploads/events/notice_shivalik_hostel_covid.pdf
a,Manual to Access pec.edu.in Email ID,https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf
a,As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.,https://pec.ac.in/sites/default/files/uploads/events/corona_virus_urgent_notice.pdf
a,Contribute to Covid Emergency Funds,https://pec.ac.in/donations/
a,,https://pec.ac.in/institute/covid-19-corona-virus/notifications
a,Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years.,https://pec.ac.in/jobs/job-19-7-18/details
a,Description, Purpose and Guidelines of the Voyager Program,https://pec.ac.in/events/voyager-program-details
a,Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award,https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award
a,Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications,https://pec.ac.in/events/online-short-term-course-stc-smart-functional-materials-emerging-applications
a,Webinar on ANSYS High Frequency Application in 5G Antenna,https://pec.ac.in/events/webinar-ansys-high-frequency-application-5g-antenna
a,Two Days Workshop on Advanced Functional Materials (WAFM-2020),https://pec.ac.in/events/two-days-workshop-advanced-functional-materials-wafm-2020
a,Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020),https://pec.ac.in/events/online-short-term-course-nanotechnology-electronic-and-photonic-devices-nanodev-2020
a,All Events,https://pec.ac.in/all_events
a,,https://www.facebook.com/pec.university.official/
a,,https://twitter.com/pecchandigarh
a,,https://plus.google.com/111309164844966427284/about
a,,https://www.linkedin.com/company/pec-university-of-technology-chandigarh
a,,https://pec.ac.in/videos
a,India 2020 Top Cited Paper,https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award
a,Web Development & Programming the IoT,https://pec.ac.in/events/six-weeks-workshop-web-development-introduction-programming-internet-things-iot
a,Space Flight: Challenges & Opportunities,https://pec.ac.in/events/kalpana-chawla-memorial-lecture-national-seminar
a,Overview,https://pec.ac.in/research/overview
a,Research Groups,https://pec.ac.in/research-groups
a,Sponsored Research,https://pec.ac.in/sponsored-research
a,Consultancy,https://pec.ac.in/consultancy
a,Collaborations,https://pec.ac.in/coe/collaborations
a,In-House Projects,https://pec.ac.in/house-projects
a,Time Tables,https://pec.ac.in/current-students/time-tables
a,Examination,https://pec.ac.in/current-students/examination
a,Academic Calendar,https://pec.ac.in/academics/calendar
a,Undergraduate Programme,https://pec.ac.in/programmes/ug/structure
a,Postgraduate Programme,https://pec.ac.in/programmes/pg/structure
a,PhD Programme,https://pec.ac.in/programmes/phd
a,Library,https://pec.ac.in/library
a,Computer Centre,https://pec.ac.in/computer-centre
a,Sports,https://pec.ac.in/Sports
a,Hostels,https://pec.ac.in/hostels
a,Medical Facility,https://pec.ac.in/medical-facilities
a,Workshops,https://pec.ac.in/workshops
a,E-Notices,http://172.15.0.24/enotices/
a,Multimedia,https://pec.ac.in/multimedia
a,Brochure & Prospectus,https://pec.ac.in/prospectus
a,CRIKC,http://crikc.puchd.ac.in/
a,Sexual Harassment Complaints,https://pec.ac.in/institute/sexual-harassment-complaints-committee
a,Website Credits,https://pec.ac.in/credits
a,Web Editor,https://pec.ac.in/web_editor
a,Anti-Ragging,https://pec.ac.in/anti-ragging
a,Privacy Statement,https://pec.ac.in/privacy-policy
a,Report Copyright Infringement,https://pec.ac.in/reporting-copyright-infringement
